;NOME;IPP_2020;IPP_2021;IPP_2022;cluster
4;ALUNO-5;8.4375;8.5;6.458333333333334;2
7;ALUNO-8;8.749999999999998;8.0;7.65625;3
10;ALUNO-11;10.0;7.7;7.083333333333332;3
16;ALUNO-17;6.5625;8.4;5.9375;2
17;ALUNO-18;7.083333333333334;7.7;7.8125;0
33;ALUNO-34;8.125;7.7;7.5;3
35;ALUNO-36;8.749999999999998;7.3;7.96875;3
36;ALUNO-37;6.458333333333333;7.5;6.25;0
45;ALUNO-46;7.5;8.1;6.041666666666667;2
50;ALUNO-51;8.125;7.7;5.625;2
59;ALUNO-60;8.4375;7.2;7.96875;3
60;ALUNO-61;6.875;6.9;6.25;0
74;ALUNO-75;9.375;8.8;9.21875;3
75;ALUNO-76;7.5;7.5;5.833333333333334;2
77;ALUNO-78;7.1875;7.3;6.666666666666666;0
80;ALUNO-81;8.125;8.1;7.5;3
82;ALUNO-83;8.958333333333332;7.3;6.875;3
83;ALUNO-84;7.5;7.5;6.458333333333334;2
84;ALUNO-85;2.5;4.7;5.625;1
86;ALUNO-87;8.749999999999998;8.1;7.96875;3
87;ALUNO-88;5.9375;8.1;8.90625;0
89;ALUNO-90;7.96875;7.2;6.71875;2
90;ALUNO-91;5.625;5.6;6.458333333333334;0
96;ALUNO-97;8.4375;7.5;7.5;3
99;ALUNO-100;6.875;6.3;6.25;0
101;ALUNO-102;7.5;7.9;6.041666666666667;2
102;ALUNO-103;7.8125;7.9;5.625;2
112;ALUNO-113;7.5;8.1;5.625;2
117;ALUNO-118;7.1875;7.5;6.5625;0
127;ALUNO-128;2.5;2.5;5.0;1
132;ALUNO-133;7.1875;7.7;5.3125;2
134;ALUNO-135;7.1875;6.9;5.625;2
150;ALUNO-151;9.166666666666666;10.0;8.125;3
151;ALUNO-152;7.96875;8.3;7.03125;3
152;ALUNO-153;8.59375;8.0;8.75;3
153;ALUNO-154;7.8125;8.1;6.25;2
155;ALUNO-156;6.666666666666667;8.3;7.5;0
157;ALUNO-158;7.708333333333334;6.9;7.1875;0
163;ALUNO-164;7.1875;7.5;6.041666666666667;2
164;ALUNO-165;7.8125;8.3;6.875;2
167;ALUNO-168;7.5;7.5;6.041666666666667;2
168;ALUNO-169;2.5;5.3;5.625;1
192;ALUNO-193;8.125;7.9;7.65625;3
196;ALUNO-197;8.958333333333332;8.1;8.125;3
199;ALUNO-200;8.125;6.7;7.65625;3
200;ALUNO-201;7.96875;8.3;7.5;3
211;ALUNO-212;2.5;2.5;2.8125;1
216;ALUNO-217;8.125;8.1;6.666666666666666;2
218;ALUNO-219;8.4375;8.1;6.458333333333334;2
224;ALUNO-225;8.749999999999998;7.5;8.125;3
228;ALUNO-229;7.916666666666668;6.9;4.375;2
234;ALUNO-235;7.5;7.3;6.875;0
240;ALUNO-241;2.5;4.1;4.166666666666666;1
241;ALUNO-242;7.1875;7.1;6.458333333333334;0
245;ALUNO-246;7.083333333333333;8.5;6.041666666666667;2
250;ALUNO-251;7.291666666666667;8.5;6.25;2
261;ALUNO-262;9.0625;7.8;7.8125;3
262;ALUNO-263;8.958333333333332;8.0;8.125;3
265;ALUNO-266;8.4375;7.5;6.666666666666666;2
266;ALUNO-267;8.958333333333334;8.3;7.34375;3
272;ALUNO-273;7.291666666666667;6.3;5.833333333333334;2
274;ALUNO-275;6.09375;6.9;7.34375;0
276;ALUNO-277;7.708333333333334;8.5;6.041666666666667;2
287;ALUNO-288;8.333333333333334;7.3;8.125;3
292;ALUNO-293;7.1875;5.9;5.3125;2
294;ALUNO-295;4.6875;7.5;6.041666666666667;1
295;ALUNO-296;7.5;7.3;6.25;2
300;ALUNO-301;7.916666666666668;8.5;6.875;2
304;ALUNO-305;6.458333333333334;7.5;7.34375;0
311;ALUNO-312;5.833333333333333;8.8;7.34375;0
312;ALUNO-313;7.5;8.1;5.416666666666667;2
322;ALUNO-323;2.5;3.8;6.041666666666667;1
331;ALUNO-332;7.291666666666667;8.3;6.666666666666666;2
336;ALUNO-337;9.166666666666666;8.8;8.75;3
339;ALUNO-340;8.541666666666666;8.3;6.875;3
341;ALUNO-342;5.3125;7.5;8.75;0
344;ALUNO-345;7.5;7.7;5.416666666666667;2
347;ALUNO-348;2.5;7.7;6.041666666666667;1
358;ALUNO-359;7.708333333333334;8.5;8.28125;3
363;ALUNO-364;5.625;7.1;6.041666666666667;0
364;ALUNO-365;8.59375;6.9;5.625;2
369;ALUNO-370;8.75;9.0;8.125;3
372;ALUNO-373;8.125;7.2;7.03125;2
374;ALUNO-375;9.6875;7.5;8.59375;3
376;ALUNO-377;8.541666666666666;7.5;7.65625;3
377;ALUNO-378;8.125;7.8;8.28125;3
380;ALUNO-381;2.5;7.8;5.625;1
386;ALUNO-387;6.875;7.3;6.5625;0
387;ALUNO-388;6.875;7.5;5.833333333333334;2
393;ALUNO-394;6.25;7.2;7.65625;0
395;ALUNO-396;8.125;7.7;7.1875;3
403;ALUNO-404;8.59375;8.9;8.4375;3
405;ALUNO-406;7.1875;7.5;6.25;2
406;ALUNO-407;8.59375;9.2;8.90625;3
415;ALUNO-416;7.708333333333334;7.3;7.5;0
420;ALUNO-421;7.65625;7.7;4.375;2
423;ALUNO-424;7.1875;7.3;6.666666666666666;0
424;ALUNO-425;6.666666666666667;7.1;7.03125;0
436;ALUNO-437;7.916666666666668;7.7;5.833333333333334;2
440;ALUNO-441;5.0;8.1;7.34375;0
446;ALUNO-447;2.5;7.9;6.041666666666667;1
447;ALUNO-448;8.541666666666666;7.5;6.875;3
448;ALUNO-449;7.5;8.5;6.458333333333334;2
449;ALUNO-450;8.4375;8.1;5.0;2
454;ALUNO-455;7.708333333333334;7.3;6.666666666666666;2
462;ALUNO-463;8.59375;8.8;7.1875;3
468;ALUNO-469;7.8125;7.3;8.125;3
473;ALUNO-474;7.291666666666667;7.1;6.25;2
476;ALUNO-477;7.5;7.3;6.458333333333334;2
481;ALUNO-482;9.166666666666666;9.8;8.59375;3
482;ALUNO-483;7.708333333333334;7.9;8.4375;3
485;ALUNO-486;5.625;6.7;5.3125;0
489;ALUNO-490;7.65625;7.3;7.65625;0
495;ALUNO-496;7.96875;8.3;6.458333333333334;2
498;ALUNO-499;7.1875;7.5;6.25;2
501;ALUNO-502;8.541666666666666;8.8;8.125;3
502;ALUNO-503;2.5;7.5;6.041666666666667;1
506;ALUNO-507;8.125;7.2;7.34375;3
512;ALUNO-513;8.125;7.7;6.5625;2
519;ALUNO-520;8.75;9.0;7.34375;3
520;ALUNO-521;8.75;8.5;6.666666666666666;3
521;ALUNO-522;7.1875;7.5;5.416666666666667;2
523;ALUNO-524;8.125;8.8;6.666666666666666;2
526;ALUNO-527;8.90625;8.6;8.28125;3
540;ALUNO-541;7.916666666666667;8.1;5.625;2
543;ALUNO-544;7.5;8.1;7.34375;0
545;ALUNO-546;5.416666666666667;4.6;4.53125;1
556;ALUNO-557;8.4375;8.1;6.875;3
559;ALUNO-560;6.875;8.1;5.833333333333334;2
560;ALUNO-561;8.125;6.9;7.5;3
561;ALUNO-562;9.166666666666666;8.8;7.1875;3
568;ALUNO-569;7.5;7.5;6.041666666666667;2
573;ALUNO-574;8.125;8.0;8.4375;3
578;ALUNO-579;5.0;7.5;6.458333333333334;0
582;ALUNO-583;7.96875;7.7;4.375;2
584;ALUNO-585;5.208333333333333;6.6;4.166666666666667;1
585;ALUNO-586;7.291666666666667;8.1;6.25;2
587;ALUNO-588;7.8125;8.8;5.9375;2
593;ALUNO-594;7.291666666666667;7.9;5.833333333333334;2
601;ALUNO-602;7.8125;8.4;4.375;2
602;ALUNO-603;6.041666666666667;8.1;3.333333333333333;2
607;ALUNO-608;8.749999999999998;7.7;5.0;2
612;ALUNO-613;5.416666666666666;8.3;6.458333333333334;0
614;ALUNO-615;10.0;7.5;6.875;3
621;ALUNO-622;7.083333333333334;6.9;5.9375;2
623;ALUNO-624;6.249999999999999;7.1;5.0;2
633;ALUNO-634;2.8125;4.4;4.791666666666667;1
637;ALUNO-638;2.5;7.5;5.625;1
641;ALUNO-642;7.083333333333334;6.9;6.458333333333334;0
643;ALUNO-644;7.8125;8.5;8.90625;3
644;ALUNO-645;7.5;7.5;4.166666666666666;2
646;ALUNO-647;6.666666666666667;7.3;6.666666666666666;0
656;ALUNO-657;8.958333333333332;9.0;8.75;3
662;ALUNO-663;4.6875;6.7;4.375;1
663;ALUNO-664;9.166666666666666;8.8;9.0625;3
667;ALUNO-668;7.916666666666668;7.5;6.041666666666667;2
680;ALUNO-681;4.6875;7.3;8.28125;0
685;ALUNO-686;7.8125;7.5;5.625;2
688;ALUNO-689;5.0;7.5;8.75;0
692;ALUNO-693;2.5;7.5;6.041666666666667;1
694;ALUNO-695;7.8125;7.5;5.0;2
699;ALUNO-700;7.916666666666668;7.5;6.25;2
702;ALUNO-703;8.4375;7.5;7.8125;3
706;ALUNO-707;7.708333333333334;7.5;7.1875;0
707;ALUNO-708;7.291666666666667;8.3;6.458333333333334;2
709;ALUNO-710;7.5;8.3;8.90625;3
720;ALUNO-721;2.5;6.7;6.875;1
731;ALUNO-732;8.541666666666666;8.1;7.65625;3
736;ALUNO-737;7.5;8.5;6.25;2
737;ALUNO-738;8.541666666666668;7.5;6.40625;2
738;ALUNO-739;8.4375;8.1;8.59375;3
742;ALUNO-743;2.5;7.9;5.833333333333334;1
745;ALUNO-746;8.541666666666666;8.5;8.59375;3
746;ALUNO-747;7.96875;9.2;6.25;2
752;ALUNO-753;8.125;7.2;4.84375;2
754;ALUNO-755;8.4375;7.8;8.125;3
756;ALUNO-757;7.96875;7.3;6.25;2
759;ALUNO-760;7.8125;7.8;5.625;2
765;ALUNO-766;8.749999999999998;7.8;6.25;2
767;ALUNO-768;7.291666666666667;8.1;7.5;0
772;ALUNO-773;8.958333333333334;9.8;8.90625;3
782;ALUNO-783;8.125;8.3;6.25;2
789;ALUNO-790;9.791666666666666;8.8;6.041666666666667;3
791;ALUNO-792;8.125;7.5;7.03125;3
793;ALUNO-794;7.916666666666668;7.9;7.96875;3
795;ALUNO-796;7.96875;7.3;7.65625;3
806;ALUNO-807;2.5;9.0;6.666666666666666;1
810;ALUNO-811;7.5;7.5;6.458333333333334;2
813;ALUNO-814;7.916666666666668;7.9;6.25;2
816;ALUNO-817;6.25;7.9;8.125;0
819;ALUNO-820;8.749999999999998;8.6;6.458333333333332;2
822;ALUNO-823;7.916666666666668;7.9;6.458333333333334;2
823;ALUNO-824;6.875;8.1;6.25;2
824;ALUNO-825;6.71875;6.3;7.8125;0
827;ALUNO-828;8.541666666666666;8.1;7.96875;3
828;ALUNO-829;7.708333333333334;7.3;6.71875;2
829;ALUNO-830;8.958333333333332;8.8;6.458333333333334;3
830;ALUNO-831;6.5625;7.7;6.25;0
834;ALUNO-835;6.5625;7.8;6.25;0
839;ALUNO-840;2.5;5.3;5.0;1
847;ALUNO-848;7.1875;8.1;7.34375;0
849;ALUNO-850;7.96875;8.1;7.65625;3
850;ALUNO-851;2.5;8.1;6.041666666666667;1
854;ALUNO-855;7.083333333333334;7.9;7.34375;0
857;ALUNO-858;8.125;7.7;4.375;2
860;ALUNO-861;8.125;7.7;7.1875;3
861;ALUNO-862;7.083333333333334;8.1;6.25;2
865;ALUNO-866;7.1875;7.7;6.875;0
871;ALUNO-872;7.5;5.2;7.1875;0
876;ALUNO-877;7.5;8.1;7.03125;0
885;ALUNO-886;7.5;7.8;6.25;2
888;ALUNO-889;8.4375;7.5;7.34375;3
901;ALUNO-902;2.5;7.8;5.3125;1
902;ALUNO-903;8.125;8.1;6.041666666666667;2
908;ALUNO-909;7.8125;7.3;6.458333333333334;2
909;ALUNO-910;7.8125;7.5;7.03125;2
910;ALUNO-911;7.1875;7.5;5.78125;2
915;ALUNO-916;8.59375;9.2;9.0625;3
918;ALUNO-919;7.500000000000001;7.8;7.65625;0
921;ALUNO-922;5.9375;8.5;7.5;0
922;ALUNO-923;2.5;6.6;5.625;1
925;ALUNO-926;6.875;7.5;7.5;0
926;ALUNO-927;7.708333333333334;8.1;6.041666666666667;2
929;ALUNO-930;8.125;8.0;9.0625;3
930;ALUNO-931;7.8125;8.3;5.625;2
931;ALUNO-932;7.8125;7.1;7.5;0
936;ALUNO-937;7.916666666666668;8.1;7.1875;3
943;ALUNO-944;8.333333333333334;7.3;6.09375;2
947;ALUNO-948;7.916666666666668;7.5;8.125;3
956;ALUNO-957;7.291666666666667;8.1;6.458333333333334;2
957;ALUNO-958;8.749999999999998;8.1;7.03125;3
960;ALUNO-961;7.916666666666668;7.7;6.458333333333334;2
963;ALUNO-964;8.125;8.3;7.65625;3
982;ALUNO-983;8.125;8.5;7.96875;3
983;ALUNO-984;7.291666666666667;7.2;4.6875;2
988;ALUNO-989;8.333333333333334;7.5;6.041666666666667;2
990;ALUNO-991;7.5;7.9;6.25;2
992;ALUNO-993;8.28125;7.0;7.5;3
993;ALUNO-994;7.708333333333334;7.5;7.5;3
995;ALUNO-996;7.708333333333334;7.3;6.25;2
996;ALUNO-997;8.125;7.9;6.458333333333334;2
1001;ALUNO-1002;8.125;7.7;7.5;3
1003;ALUNO-1004;2.5;7.8;6.25;1
1009;ALUNO-1010;7.1875;7.5;6.041666666666667;2
1013;ALUNO-1014;7.5;8.1;6.041666666666667;2
1014;ALUNO-1015;8.125;7.9;7.96875;3
1016;ALUNO-1017;7.083333333333333;7.9;7.96875;0
1021;ALUNO-1022;7.5;7.7;6.041666666666667;2
1027;ALUNO-1028;7.916666666666668;7.5;7.5;3
1028;ALUNO-1029;8.125;9.2;7.8125;3
1030;ALUNO-1031;7.5;7.5;5.833333333333334;2
1033;ALUNO-1034;8.125;8.3;6.041666666666667;2
1050;ALUNO-1051;7.5;6.9;8.125;0
1066;ALUNO-1067;8.125;8.8;6.041666666666667;2
1069;ALUNO-1070;5.0;8.3;4.6875;1
1071;ALUNO-1072;8.749999999999998;7.5;6.09375;2
1074;ALUNO-1075;8.749999999999998;7.8;7.96875;3
1077;ALUNO-1078;7.083333333333334;7.7;6.458333333333334;2
1083;ALUNO-1084;6.875;7.9;5.0;2
1084;ALUNO-1085;7.96875;7.3;6.25;2
1089;ALUNO-1090;7.083333333333333;7.9;5.833333333333334;2
1092;ALUNO-1093;8.333333333333332;8.0;8.28125;3
1094;ALUNO-1095;7.5;9.2;6.25;2
1102;ALUNO-1103;4.6875;6.0;6.09375;1
1104;ALUNO-1105;7.1875;7.3;6.041666666666667;2
1109;ALUNO-1110;8.125;6.5;6.458333333333332;2
1122;ALUNO-1123;9.166666666666666;8.3;7.8125;3
1126;ALUNO-1127;5.0;7.9;7.8125;0
1127;ALUNO-1128;9.375;8.8;6.458333333333334;3
1129;ALUNO-1130;8.333333333333334;9.8;8.28125;3
1135;ALUNO-1136;7.8125;8.8;5.833333333333334;2
1140;ALUNO-1141;7.8125;8.1;5.0;2
1149;ALUNO-1150;7.916666666666668;8.3;5.9375;2
1155;ALUNO-1156;7.8125;7.0;7.34375;0
1158;ALUNO-1159;8.125;8.3;8.125;3
1160;ALUNO-1161;5.625;5.8;6.71875;0
1164;ALUNO-1165;7.5;7.7;8.28125;3
1166;ALUNO-1167;8.125;6.9;6.458333333333334;2
1167;ALUNO-1168;7.1875;8.1;5.833333333333334;2
1169;ALUNO-1170;7.1875;7.3;5.625;2
1170;ALUNO-1171;8.749999999999998;9.2;7.8125;3
1173;ALUNO-1174;8.28125;6.7;6.5625;2
1175;ALUNO-1176;9.166666666666666;8.4;8.90625;3
1180;ALUNO-1181;2.5;8.1;5.833333333333334;1
1189;ALUNO-1190;6.875;8.1;7.34375;0
1190;ALUNO-1191;7.65625;7.1;8.28125;3
1194;ALUNO-1195;8.4375;7.9;8.75;3
1214;ALUNO-1215;7.5;7.5;6.458333333333334;2
1216;ALUNO-1217;9.375;9.2;8.90625;3
1218;ALUNO-1219;8.958333333333332;8.6;6.041666666666666;2
1222;ALUNO-1223;8.75;8.1;7.03125;3
1225;ALUNO-1226;8.75;8.1;7.03125;3
1229;ALUNO-1230;8.4375;8.1;8.125;3
1230;ALUNO-1231;6.666666666666666;7.5;6.25;0
1236;ALUNO-1237;7.5;7.1;7.34375;0
1243;ALUNO-1244;8.125;7.5;6.041666666666667;2
1247;ALUNO-1248;8.541666666666666;7.7;5.3125;2
1249;ALUNO-1250;8.125;7.5;7.03125;3
1250;ALUNO-1251;7.65625;7.5;7.96875;3
1259;ALUNO-1260;7.291666666666667;7.7;5.833333333333334;2
1263;ALUNO-1264;7.916666666666668;7.3;6.458333333333334;2
1274;ALUNO-1275;7.1875;8.3;6.666666666666666;2
1277;ALUNO-1278;2.5;6.3;5.625;1
1284;ALUNO-1285;7.8125;7.7;5.625;2
1286;ALUNO-1287;2.5;7.5;5.416666666666667;1
1288;ALUNO-1289;6.666666666666667;7.9;7.1875;0
1291;ALUNO-1292;8.75;8.8;8.59375;3
1297;ALUNO-1298;7.5;7.5;5.833333333333334;2
1318;ALUNO-1319;7.291666666666667;8.1;5.624999999999999;2
1322;ALUNO-1323;7.916666666666668;7.9;5.833333333333334;2
1323;ALUNO-1324;7.708333333333334;7.5;6.458333333333334;2
1337;ALUNO-1338;8.125;7.7;6.458333333333332;2
1342;ALUNO-1343;6.25;6.9;6.25;0
1347;ALUNO-1348;8.541666666666666;7.5;6.71875;2
