;NOME;IPV_2020;IPV_2021;IPV_2022;cluster
4;ALUNO-5;8.166665;7.4;7.833336666666667;3
7;ALUNO-8;8.94445;8.5;7.6250025;1
10;ALUNO-11;10.00001;9.7;9.50001;1
16;ALUNO-17;7.75;8.8;7.5;1
17;ALUNO-18;7.944446666666665;5.2;7.2499975;0
33;ALUNO-34;7.944443333333334;8.7;6.41666;3
35;ALUNO-36;8.222226666666668;7.9;7.7916675;1
36;ALUNO-37;7.77778;6.7;7.777779999999999;3
45;ALUNO-46;7.583335;8.4;6.888883333333333;3
50;ALUNO-51;7.416665;8.6;6.91666;3
59;ALUNO-60;8.124995;7.7;7.277773333333332;3
60;ALUNO-61;7.333333333333333;5.1;7.38889;0
74;ALUNO-75;9.75001;9.7;9.75001;1
75;ALUNO-76;6.58333;9.2;8.27778;1
77;ALUNO-78;7.666665;5.6;7.833336666666667;0
80;ALUNO-81;9.11112;7.7;8.833336666666666;1
82;ALUNO-83;9.166676666666666;6.7;7.750005;3
83;ALUNO-84;6.999995;8.3;8.444446666666666;1
84;ALUNO-85;6.66666;7.0;8.833335;3
86;ALUNO-87;8.722226666666666;7.7;7.1250025;3
87;ALUNO-88;9.58334;9.1;9.0833375;1
89;ALUNO-90;7.5000025;7.0;6.888886666666665;3
90;ALUNO-91;7.58333;2.5;7.500003333333334;0
96;ALUNO-97;7.75;6.0;5.58333;0
99;ALUNO-100;7.916665;3.8;7.444443333333333;0
101;ALUNO-102;7.833333333333333;7.8;7.833333333333333;3
102;ALUNO-103;7.333335;8.6;7.749995;1
112;ALUNO-113;7.916665;6.6;5.4166575;3
117;ALUNO-118;7.416665;8.2;9.33334;1
127;ALUNO-128;3.500005;5.6;7.166665;2
132;ALUNO-133;7.5;8.4;7.583335;3
134;ALUNO-135;7.25;7.3;6.833326666666666;3
150;ALUNO-151;8.611113333333334;10.0;8.125;1
151;ALUNO-152;8.6250075;9.8;7.2499975;1
152;ALUNO-153;9.1250075;9.0;9.2916725;1
153;ALUNO-154;7.916665;6.3;5.999996666666666;3
155;ALUNO-156;8.11111;8.8;7.7083325;1
157;ALUNO-158;6.611103333333333;6.1;6.49999;0
163;ALUNO-164;7.75;6.7;7.61111;3
164;ALUNO-165;7.5;7.7;8.388893333333334;1
167;ALUNO-168;8.11111;4.4;6.888883333333332;0
168;ALUNO-169;5.749995;6.8;7.999995;2
192;ALUNO-193;9.333333333333332;9.6;7.7499975;1
196;ALUNO-197;8.5;8.6;8.458337499999999;1
199;ALUNO-200;8.5416725;3.5;7.625;0
200;ALUNO-201;7.4166675;6.7;7.944443333333334;3
211;ALUNO-212;2.58334;4.7;5.166655;2
216;ALUNO-217;9.000005;8.4;8.888893333333334;1
218;ALUNO-219;7.916665;4.8;6.611106666666666;0
224;ALUNO-225;8.277783333333334;6.7;6.6666675;3
228;ALUNO-229;7.777776666666667;7.3;5.83333;3
234;ALUNO-235;7.2916675;8.1;5.9999925;3
240;ALUNO-241;6.75;2.6;4.83333;0
241;ALUNO-242;6.916665;6.8;6.944443333333333;3
245;ALUNO-246;7.666666666666666;7.7;7.5;3
250;ALUNO-251;7.333333333333333;8.4;8.444446666666668;1
261;ALUNO-262;9.250005;7.7;6.777773333333332;3
262;ALUNO-263;8.388893333333336;7.5;7.555553333333333;3
265;ALUNO-266;8.0;8.0;8.38889;1
266;ALUNO-267;9.777786666666666;8.6;7.8333325;1
272;ALUNO-273;4.388883333333333;4.4;7.555556666666667;2
274;ALUNO-275;5.666665;6.4;6.8333275;2
276;ALUNO-277;7.777773333333332;7.8;7.944443333333334;3
287;ALUNO-288;7.833333333333334;8.7;7.708335;1
292;ALUNO-293;6.6666675;3.5;4.6250025;0
294;ALUNO-295;7.75;5.3;7.666666666666667;0
295;ALUNO-296;7.666665;7.4;7.499996666666666;3
300;ALUNO-301;7.833333333333333;8.4;8.333336666666668;1
304;ALUNO-305;8.277776666666666;8.3;7.0833275;3
311;ALUNO-312;8.277776666666666;8.8;6.70833;3
312;ALUNO-313;6.749995;8.4;7.333333333333333;3
322;ALUNO-323;6.416665;4.3;5.833336666666666;0
331;ALUNO-332;7.444443333333333;9.8;8.166670000000002;1
336;ALUNO-337;9.111113333333332;8.5;9.111116666666666;1
339;ALUNO-340;6.888883333333333;9.1;6.166670000000001;3
341;ALUNO-342;8.5;8.4;8.458337499999999;1
344;ALUNO-345;5.74999;7.3;6.777776666666666;2
347;ALUNO-348;7.83334;7.5;6.94444;3
358;ALUNO-359;7.722219999999999;9.1;7.9166675;1
363;ALUNO-364;7.166665;8.6;5.77778;3
364;ALUNO-365;9.125005000000002;7.9;5.277776666666666;3
369;ALUNO-370;9.166669999999998;8.9;8.5833375;1
372;ALUNO-373;6.6666625;4.2;6.111106666666666;0
374;ALUNO-375;9.58334;8.9;8.5;1
376;ALUNO-377;8.111106666666666;7.9;7.04166;3
377;ALUNO-378;8.25;7.3;7.388886666666666;3
380;ALUNO-381;4.16667;6.6;7.25;2
386;ALUNO-387;7.222216666666665;5.9;4.79166;0
387;ALUNO-388;7.222216666666665;7.7;7.055553333333332;3
393;ALUNO-394;6.166665;6.7;7.7916675;2
395;ALUNO-396;6.11111;8.7;6.333329999999999;3
403;ALUNO-404;8.5416725;8.3;9.0833375;1
405;ALUNO-406;7.25;5.4;7.833336666666667;0
406;ALUNO-407;9.166675;9.4;9.583340000000002;1
415;ALUNO-416;8.22222;8.2;6.6249925;3
420;ALUNO-421;7.2500025;6.9;4.37499;3
423;ALUNO-424;7.416665;6.1;7.333336666666667;3
424;ALUNO-425;5.666656666666667;6.9;6.6666625;2
436;ALUNO-437;7.333333333333333;6.6;7.555556666666667;3
440;ALUNO-441;6.72222;8.0;6.04166;3
446;ALUNO-447;4.99999;8.7;7.611113333333334;2
447;ALUNO-448;8.444443333333332;8.1;8.500003333333334;1
448;ALUNO-449;7.277776666666666;8.6;8.055556666666666;1
449;ALUNO-450;7.2916675;8.3;5.833336666666667;3
454;ALUNO-455;9.277783333333334;7.2;7.777783333333335;1
462;ALUNO-463;7.583335;8.2;7.4583325;3
468;ALUNO-469;7.91667;5.2;7.875;0
473;ALUNO-474;7.72222;7.2;6.94445;3
476;ALUNO-477;7.055553333333332;5.9;6.611106666666666;0
481;ALUNO-482;8.277776666666668;9.8;9.125005000000002;1
482;ALUNO-483;8.16667;8.1;8.70834;1
485;ALUNO-486;7.5;5.7;3.7500075;0
489;ALUNO-490;8.29167;7.0;7.416665;3
495;ALUNO-496;8.5416725;7.7;7.5;3
498;ALUNO-499;8.0;8.8;8.500003333333334;1
501;ALUNO-502;8.333333333333334;7.5;7.7916625;3
502;ALUNO-503;5.916675;8.4;7.444443333333333;3
506;ALUNO-507;7.222219999999999;5.3;6.3749925;0
512;ALUNO-513;7.75;8.4;8.83334;1
519;ALUNO-520;9.05556;8.9;8.29167;1
520;ALUNO-521;8.611113333333334;8.7;7.5;1
521;ALUNO-522;7.583335;7.1;7.333330000000001;3
523;ALUNO-524;7.5;9.6;8.944446666666666;1
526;ALUNO-527;9.375007500000002;8.7;7.666670000000002;1
540;ALUNO-541;8.944446666666666;8.0;6.08333;3
543;ALUNO-544;7.555549999999998;7.7;6.111103333333335;3
545;ALUNO-546;4.888896666666667;6.3;6.277773333333335;2
556;ALUNO-557;7.916665;8.9;5.833325;3
559;ALUNO-560;7.333333333333333;7.1;7.222223333333333;3
560;ALUNO-561;6.833326666666666;4.9;6.58333;0
561;ALUNO-562;8.500003333333334;8.1;6.999995;3
568;ALUNO-569;8.91667;8.7;7.88889;1
573;ALUNO-574;7.33333;7.8;9.500003333333332;1
578;ALUNO-579;9.083335;8.2;8.000003333333334;1
582;ALUNO-583;7.2916675;7.9;5.958335;3
584;ALUNO-585;8.055553333333332;5.3;6.777776666666666;0
585;ALUNO-586;7.666666666666666;8.9;7.5;1
587;ALUNO-588;8.16667;8.9;7.5;1
593;ALUNO-594;7.944443333333333;8.4;8.555563333333334;1
601;ALUNO-602;3.25001;7.3;6.833325;2
602;ALUNO-603;8.05555;8.3;5.444436666666668;3
607;ALUNO-608;7.833336666666668;8.5;6.500005;3
612;ALUNO-613;7.944443333333333;8.3;7.777776666666667;1
614;ALUNO-615;9.833345;8.7;9.05556;1
621;ALUNO-622;5.611103333333335;4.5;3.875;0
623;ALUNO-624;5.444433333333334;6.5;3.916675;2
633;ALUNO-634;6.58333;3.3;6.722216666666666;0
637;ALUNO-638;6.08333;7.7;3.75;3
641;ALUNO-642;7.277776666666666;8.2;8.055553333333334;1
643;ALUNO-644;9.000005;9.7;8.6250025;1
644;ALUNO-645;6.500005;6.2;5.44444;0
646;ALUNO-647;7.722219999999999;4.3;7.888890000000001;0
656;ALUNO-657;8.055560000000002;10.0;8.458335;1
662;ALUNO-663;6.916665;5.2;6.055553333333335;0
663;ALUNO-664;9.8889;9.9;10.00001;1
667;ALUNO-668;7.833333333333333;6.8;6.944443333333333;3
680;ALUNO-681;7.75;7.5;6.666665;3
685;ALUNO-686;7.333335;7.5;7.333335;3
688;ALUNO-689;9.58334;8.3;8.25;1
692;ALUNO-693;6.99999;8.3;7.61111;3
694;ALUNO-695;6.99999;9.3;7.222223333333334;1
699;ALUNO-700;6.222213333333333;6.8;7.222223333333333;2
702;ALUNO-703;7.583335;7.9;7.6666675;3
706;ALUNO-707;7.666663333333333;8.1;6.3749925;3
707;ALUNO-708;7.777776666666667;7.2;6.999999999999999;3
709;ALUNO-710;8.333335;8.4;8.625;1
720;ALUNO-721;7.0;5.5;5.54166;0
731;ALUNO-732;7.611113333333334;7.7;7.944446666666668;3
736;ALUNO-737;7.5;8.1;7.5;3
737;ALUNO-738;8.333336666666668;7.9;5.79166;3
738;ALUNO-739;8.666675;9.2;8.375007499999999;1
742;ALUNO-743;6.916655;8.7;7.77778;1
745;ALUNO-746;8.833336666666666;9.4;9.2083375;1
746;ALUNO-747;7.91667;9.3;7.416665;1
752;ALUNO-753;6.722216666666666;4.1;4.9583375;0
754;ALUNO-755;7.5;7.0;6.291665;3
756;ALUNO-757;6.791665;5.1;6.41666;0
759;ALUNO-760;6.24999;7.5;6.277773333333333;3
765;ALUNO-766;8.055560000000002;8.4;5.999993333333333;3
767;ALUNO-768;8.77778;8.9;7.291665;1
772;ALUNO-773;8.944446666666664;9.8;9.250005000000002;1
782;ALUNO-783;7.916665;8.3;8.05556;1
789;ALUNO-790;9.777786666666666;9.3;8.250005;1
791;ALUNO-792;7.166665;5.8;5.9583325;0
793;ALUNO-794;8.722226666666666;8.1;8.125;1
795;ALUNO-796;7.6250025;4.2;6.499995;0
806;ALUNO-807;7.833335;9.8;9.61112;1
810;ALUNO-811;8.083335;7.3;7.5;3
813;ALUNO-814;7.944443333333333;7.6;6.833329999999999;3
816;ALUNO-817;8.333335;9.2;8.0000025;1
819;ALUNO-820;8.944453333333334;8.7;7.8750025;1
822;ALUNO-823;8.333333333333334;8.1;8.222226666666668;1
823;ALUNO-824;7.444443333333333;9.1;5.888886666666666;3
824;ALUNO-825;5.4999925;4.8;4.916665;0
827;ALUNO-828;8.777786666666666;7.7;7.27778;3
828;ALUNO-829;6.944439999999998;7.2;5.91666;3
829;ALUNO-830;9.222233333333334;8.8;8.125005;1
830;ALUNO-831;6.916655;8.3;5.999996666666668;3
834;ALUNO-835;7.416665;5.4;5.999993333333334;0
839;ALUNO-840;4.499995;6.2;7.083325;2
847;ALUNO-848;7.58333;6.8;5.3749875;3
849;ALUNO-850;7.25;9.3;7.1666625;1
850;ALUNO-851;6.99999;9.2;7.666666666666667;1
854;ALUNO-855;6.888886666666665;7.1;5.5416575;3
857;ALUNO-858;9.250005;9.4;8.277776666666668;1
860;ALUNO-861;7.833333333333334;7.9;7.3333325;3
861;ALUNO-862;8.0;9.1;8.388893333333334;1
865;ALUNO-866;7.25;9.0;9.33334;1
871;ALUNO-872;7.944446666666667;3.7;5.12499;0
876;ALUNO-877;7.916665;8.5;5.2083225;3
885;ALUNO-886;7.58334;8.3;6.888883333333333;3
888;ALUNO-889;7.5;8.8;7.4999975;1
901;ALUNO-902;6.083335;6.6;7.749995;2
902;ALUNO-903;7.916665;9.7;8.222226666666666;1
908;ALUNO-909;8.0;7.2;7.722223333333334;3
909;ALUNO-910;6.749995;6.7;6.388886666666666;3
910;ALUNO-911;6.3333325;7.0;6.1249925;3
915;ALUNO-916;9.8333425;9.3;9.666675;1
918;ALUNO-919;7.444446666666667;6.8;6.388886666666667;3
921;ALUNO-922;8.833335;8.5;6.7083275;3
922;ALUNO-923;4.75;5.0;8.083335;2
925;ALUNO-926;7.055549999999999;8.1;6.7083275;3
926;ALUNO-927;7.833333333333333;8.8;7.5;1
929;ALUNO-930;8.722226666666666;9.3;10.00001;1
930;ALUNO-931;6.99999;8.2;8.166665;1
931;ALUNO-932;7.5;6.9;6.916665;3
936;ALUNO-937;7.777776666666667;8.4;6.124995;3
943;ALUNO-944;5.722213333333335;3.6;4.6249975;0
947;ALUNO-948;7.444443333333333;7.8;7.416665;3
956;ALUNO-957;8.055556666666668;7.9;8.388893333333334;1
957;ALUNO-958;9.111113333333334;8.3;6.7499975;3
960;ALUNO-961;8.0;7.9;8.0;1
963;ALUNO-964;8.0;8.0;7.8749975;1
982;ALUNO-983;8.11111;9.8;7.41667;1
983;ALUNO-984;7.61111;4.3;5.75;0
988;ALUNO-989;7.666666666666667;6.9;7.166666666666666;3
990;ALUNO-991;7.22222;7.7;7.555556666666667;3
992;ALUNO-993;8.458337499999999;6.3;7.2916675;3
993;ALUNO-994;7.944443333333333;8.3;6.4583275;3
995;ALUNO-996;8.277776666666668;6.2;7.61111;3
996;ALUNO-997;7.75;9.5;8.722226666666666;1
1001;ALUNO-1002;7.944446666666668;8.1;7.958335;1
1003;ALUNO-1004;5.5;6.3;8.33333;2
1009;ALUNO-1010;7.416665;8.1;7.5;3
1013;ALUNO-1014;7.222219999999999;8.7;7.277776666666666;3
1014;ALUNO-1015;9.000003333333332;9.1;8.91667;1
1016;ALUNO-1017;8.277776666666666;9.2;8.083335;1
1021;ALUNO-1022;7.5;7.9;7.166666666666666;3
1027;ALUNO-1028;7.111106666666665;7.8;5.7083275;3
1028;ALUNO-1029;9.000005;9.7;7.9166675;1
1030;ALUNO-1031;8.833335;9.0;7.5;1
1033;ALUNO-1034;7.944446666666668;9.0;7.333333333333333;1
1050;ALUNO-1051;7.72222;2.9;7.0416625;0
1066;ALUNO-1067;7.5;9.2;8.333333333333334;1
1069;ALUNO-1070;5.66666;8.7;5.16667;3
1071;ALUNO-1072;7.833333333333334;8.2;4.83333;3
1074;ALUNO-1075;8.55556;9.4;8.458337499999999;1
1077;ALUNO-1078;7.833333333333333;5.7;5.833336666666667;0
1083;ALUNO-1084;7.41667;8.2;5.888886666666667;3
1084;ALUNO-1085;7.375;5.5;5.833336666666667;0
1089;ALUNO-1090;7.166663333333332;9.0;5.999993333333334;3
1092;ALUNO-1093;7.055553333333334;6.8;8.055556666666668;3
1094;ALUNO-1095;8.083335;9.7;8.055563333333334;1
1102;ALUNO-1103;8.583335;5.5;6.2916575;0
1104;ALUNO-1105;7.75;7.3;7.88889;3
1109;ALUNO-1110;8.0;7.3;7.499996666666666;3
1122;ALUNO-1123;9.611113333333332;8.5;9.25;1
1126;ALUNO-1127;9.33334;7.8;7.333335;1
1127;ALUNO-1128;9.7083425;8.9;9.4166775;1
1129;ALUNO-1130;7.888890000000001;9.9;8.208337499999999;1
1135;ALUNO-1136;7.6250025;9.1;8.2500025;1
1140;ALUNO-1141;7.5;8.9;4.91667;3
1149;ALUNO-1150;7.61111;7.6;8.25;1
1155;ALUNO-1156;6.916665;6.2;6.166665;0
1158;ALUNO-1159;8.944449999999998;8.4;8.944446666666666;1
1160;ALUNO-1161;6.1249975;8.1;7.2083375;3
1164;ALUNO-1165;7.5;8.9;7.7916675;1
1166;ALUNO-1167;8.0;6.2;7.555556666666667;3
1167;ALUNO-1168;7.916665;9.0;7.333333333333333;1
1169;ALUNO-1170;7.25;5.2;6.833325;0
1170;ALUNO-1171;9.500006666666668;9.9;9.5000075;1
1173;ALUNO-1174;8.8333375;6.3;5.222213333333333;3
1175;ALUNO-1176;8.500003333333334;9.3;9.833343333333334;1
1180;ALUNO-1181;7.66667;8.7;7.333333333333333;3
1189;ALUNO-1190;6.777776666666665;8.3;6.166655;3
1190;ALUNO-1191;6.333335;4.2;8.2916725;0
1194;ALUNO-1195;7.75;8.3;8.6666725;1
1214;ALUNO-1215;9.000005;8.4;8.000003333333334;1
1216;ALUNO-1217;9.37501;9.5;8.83334;1
1218;ALUNO-1219;8.944453333333334;8.6;8.500005;1
1222;ALUNO-1223;8.77778;6.8;5.62499;3
1225;ALUNO-1226;8.611113333333334;6.8;5.62499;3
1229;ALUNO-1230;7.375;8.1;7.5;3
1230;ALUNO-1231;7.999996666666666;6.5;7.166663333333333;3
1236;ALUNO-1237;7.166663333333332;4.2;4.4166625;0
1243;ALUNO-1244;7.75;7.4;7.555556666666667;3
1247;ALUNO-1248;8.055553333333332;6.1;3.79167;0
1249;ALUNO-1250;7.94444;7.1;6.0416625;3
1250;ALUNO-1251;7.7916675;7.4;7.541665;3
1259;ALUNO-1260;7.333333333333333;7.3;7.277776666666666;3
1263;ALUNO-1264;7.444443333333333;7.3;7.5;3
1274;ALUNO-1275;7.75;9.8;7.666666666666667;1
1277;ALUNO-1278;4.58334;6.2;7.055553333333332;2
1284;ALUNO-1285;6.99999;9.1;8.222223333333334;1
1286;ALUNO-1287;5.58334;8.4;6.555553333333333;2
1288;ALUNO-1289;6.666663333333334;7.1;6.624995;3
1291;ALUNO-1292;8.222226666666668;8.7;8.5000025;1
1297;ALUNO-1298;6.583335;7.8;7.333333333333333;3
1318;ALUNO-1319;7.5;8.4;7.222223333333334;3
1322;ALUNO-1323;8.0;7.9;7.055556666666667;3
1323;ALUNO-1324;7.5;7.1;7.222219999999999;3
1337;ALUNO-1338;9.000005;8.7;7.499996666666666;1
1342;ALUNO-1343;6.583325;3.7;7.444443333333333;0
1347;ALUNO-1348;9.11112;8.5;5.8333275;3
